PREC_2019,NeighRep,pvi,,,
7041,PORTOLA,0,,,
9724,LAKE MERCED,0.93490941,,,
9723,LAKE MERCED,2.351517297,,,
9725,LAKE MERCED,3.563034681,,,
9451,SUNSET,5.434823157,,,
7949,PORTOLA,9.24942107,,,
7049,VISITA VLY,10.1883572,,,
9727,W TWIN PKS,10.69709313,,,
9732,W TWIN PKS,12.4744217,,,
9728,W TWIN PKS,13.22569019,,,
7051,VISITA VLY,13.27928492,,,
9204,MAR/PAC HTS,14.27176779,,,
9206,MAR/PAC HTS,15.00262235,,,
9731,W TWIN PKS,15.54632483,,,
9742,W TWIN PKS,15.65725998,,,
9729,W TWIN PKS,16.66903464,,,
9203,MAR/PAC HTS,17.19913154,,,
7045,VISITA VLY,17.21197757,,,
7039,VISITA VLY,17.24069121,,,
7026,BAYVW/HTRSPT,17.33740869,,,
9449,SUNSET,17.7217712,,,
7030,BAYVW/HTRSPT,17.90631007,,,
7328,CVC CTR/DWTN,17.9962658,,,
9453,SUNSET,18.43168861,,,
9419,SUNSET,18.50648271,,,
9221,MAR/PAC HTS,19.12074237,,,
1131,EXCELSIOR,19.37624857,,,
9433,SUNSET,19.63785852,,,
1121,EXCELSIOR,19.64516,,,
1122,EXCELSIOR,19.72277787,,,
9444,SUNSET,19.99976053,,,
9437,SUNSET,20.38941571,,,
9721,W TWIN PKS,20.57931528,,,
7956,PORTOLA,20.69828397,,,
9431,SUNSET,20.82729537,,,
7038,VISITA VLY,21.16006548,,,
7951,PORTOLA,21.53350079,,,
9217,MAR/PAC HTS,21.65645523,,,
9746,W TWIN PKS,22.12188544,,,
7947,PORTOLA,22.54715674,,,
9734,W TWIN PKS,22.86611126,,,
9427,SUNSET,22.95592276,,,
7048,VISITA VLY,23.03697672,,,
9438,SUNSET,23.22765652,,,
7047,VISITA VLY,23.28993949,,,
9429,SUNSET,23.64943976,,,
7608,CVC CTR/DWTN,23.75059759,,,
7952,PORTOLA,23.78518183,,,
7036,VISITA VLY,23.90394046,,,
9436,SUNSET,24.01968514,,,
7034,BAYVW/HTRSPT,24.20853412,,,
9418,SUNSET,24.43570426,,,
1128,EXCELSIOR,24.45681481,,,
9713,W TWIN PKS,24.66464687,,,
9446,SUNSET,25.09212057,,,
9735,W TWIN PKS,25.13050751,,,
9235,SECLF/PREHTS,25.31335457,,,
7052,BAYVW/HTRSPT,25.61619268,,,
7016,BAYVW/HTRSPT,25.72787677,,,
7046,VISITA VLY,25.73620068,,,
7033,BAYVW/HTRSPT,25.89537893,,,
7955,PORTOLA,26.17164518,,,
9207,MAR/PAC HTS,26.34914671,,,
9215,MAR/PAC HTS,26.39514958,,,
1125,EXCELSIOR,26.46737305,,,
9452,SUNSET,26.66722435,,,
7953,PORTOLA,26.79017679,,,
9428,SUNSET,26.99347882,,,
7053,BAYVW/HTRSPT,26.99633087,,,
9722,W TWIN PKS,26.99954034,,,
1133,EXCELSIOR,27.37263594,,,
9716,W TWIN PKS,27.39747865,,,
9432,SUNSET,27.48679493,,,
7024,BAYVW/HTRSPT,27.57407534,,,
9233,SECLF/PREHTS,27.61401355,,,
9211,MAR/PAC HTS,27.67999818,,,
7031,BAYVW/HTRSPT,27.68113917,,,
9756,EXCELSIOR,27.93817983,,,
9707,W TWIN PKS,27.9805765,,,
7327,CHINA,28.02181006,,,
7044,BAYVW/HTRSPT,28.14178731,,,
1127,EXCELSIOR,28.28271646,,,
9714,W TWIN PKS,28.4459707,,,
7705,W TWIN PKS,28.44992144,,,
9218,MAR/PAC HTS,28.45264073,,,
7025,BAYVW/HTRSPT,28.87399381,,,
9425,SUNSET,29.06174464,,,
7018,BAYVW/HTRSPT,29.16397024,,,
9417,SUNSET,29.34417928,,,
9216,MAR/PAC HTS,29.37815214,,,
9435,SUNSET,29.38143112,,,
9228,SECLF/PREHTS,29.38791198,,,
9709,W TWIN PKS,29.48541523,,,
7314,CHINA,29.49559044,,,
9209,MAR/PAC HTS,29.60523519,,,
1148,EXCELSIOR,29.64245782,,,
9214,MAR/PAC HTS,29.66905239,,,
9439,SUNSET,29.72020586,,,
1132,EXCELSIOR,29.97583642,,,
9224,MAR/PAC HTS,30.21965264,,,
9222,MAR/PAC HTS,30.31073401,,,
7322,CHINA,30.31655908,,,
1136,EXCELSIOR,30.36750424,,,
9135,RICHMOND,30.49967067,,,
9223,MAR/PAC HTS,30.6151694,,,
9719,W TWIN PKS,30.72718151,,,
1117,INGLESIDE,31.12839457,,,
9421,SUNSET,31.17211798,,,
7032,BAYVW/HTRSPT,31.21907583,,,
9208,MAR/PAC HTS,31.31098931,,,
9424,SUNSET,31.5248304,,,
7946,PORTOLA,31.79954016,,,
7054,BAYVW/HTRSPT,31.84224683,,,
9212,MAR/PAC HTS,31.84731447,,,
9442,SUNSET,32.05505674,,,
7656,SOMA,32.16380361,,,
7638,SOMA,32.19054725,,,
7512,WST ADDITION,32.32074642,,,
9715,W TWIN PKS,32.37918423,,,
1126,EXCELSIOR,32.38000973,,,
1129,EXCELSIOR,32.52435697,,,
9422,SUNSET,32.87384825,,,
9426,SUNSET,33.09456133,,,
1135,EXCELSIOR,33.23656463,,,
7023,BAYVW/HTRSPT,33.38266182,,,
1123,INGLESIDE,33.48844103,,,
7321,CHINA,33.59437907,,,
9448,SUNSET,33.60320617,,,
9736,W TWIN PKS,33.67649785,,,
7704,W TWIN PKS,33.81774729,,,
7958,PORTOLA,33.95354165,,,
9738,LAKE MERCED,34.05677648,,,
9447,SUNSET,34.22361712,,,
9405,SUNSET,34.30396275,,,
9748,W TWIN PKS,34.91441507,,,
7338,CVC CTR/DWTN,35.12265382,,,
7019,BAYVW/HTRSPT,35.1285923,,,
9718,W TWIN PKS,35.29586946,,,
9445,SUNSET,35.30233497,,,
7625,SOMA,35.52264681,,,
9423,SUNSET,35.55851792,,,
1153,EXCELSIOR,35.71161668,,,
7027,BAYVW/HTRSPT,35.77189133,,,
9717,W TWIN PKS,35.87553246,,,
9227,SECLF/PREHTS,36.02554439,,,
1134,EXCELSIOR,36.0456519,,,
7642,SOMA,36.06694271,,,
1115,INGLESIDE,36.21258917,,,
1106,INGLESIDE,36.33276417,,,
9213,MAR/PAC HTS,36.42546368,,,
9434,SUNSET,36.67083948,,,
9443,SUNSET,36.92491714,,,
1144,EXCELSIOR,36.94744267,,,
9726,LAKE MERCED,37.24377539,,,
9122,RICHMOND,37.26991599,,,
1113,EXCELSIOR,37.45301459,,,
9234,SECLF/PREHTS,37.47234793,,,
7336,CVC CTR/DWTN,37.83011155,,,
9238,MAR/PAC HTS,37.83099692,,,
7043,BAYVW/HTRSPT,37.83539744,,,
1111,INGLESIDE,37.94077218,,,
9711,W TWIN PKS,37.99966892,,,
9751,W TWIN PKS,38.01731862,,,
7042,VISITA VLY,38.03030271,,,
7207,MAR/PAC HTS,38.16869183,,,
7029,BAYVW/HTRSPT,38.19987811,,,
9101,RICHMOND,38.56664694,,,
7037,VISITA VLY,38.7145396,,,
1109,INGLESIDE,38.81219859,,,
7301,N EMBRCDRO,38.85694636,,,
7017,BAYVW/HTRSPT,39.01497368,,,
1124,INGLESIDE,39.04488127,,,
1141,EXCELSIOR,39.13140976,,,
1114,EXCELSIOR,39.21274015,,,
1107,INGLESIDE,39.23108295,,,
1152,EXCELSIOR,39.29952746,,,
9219,MAR/PAC HTS,39.31445434,,,
9413,SUNSET,39.32050063,,,
7627,SOMA,39.3565614,,,
7641,SOMA,39.38991134,,,
9712,W TWIN PKS,39.50803663,,,
9239,MAR/PAC HTS,39.51131959,,,
9121,RICHMOND,39.59157563,,,
9001,VISITA VLY,39.79437956,,,
9139,RICHMOND,39.96099883,,,
9232,SECLF/PREHTS,40.06592606,,,
9744,LAKE MERCED,40.2531636,,,
7316,CHINA,40.50145948,,,
1118,INGLESIDE,40.71930608,,,
7329,CVC CTR/DWTN,40.89545945,,,
9225,MAR/PAC HTS,40.99761084,,,
1116,INGLESIDE,41.02880026,,,
9406,SUNSET,41.03411309,,,
9138,RICHMOND,41.23924144,,,
9103,RICHMOND,41.33835083,,,
9752,W TWIN PKS,41.49171944,,,
9747,W TWIN PKS,41.51815833,,,
7948,PORTOLA,41.58851344,,,
9118,RICHMOND,41.94893126,,,
9703,W TWIN PKS,42.0594822,,,
1108,INGLESIDE,42.08793504,,,
7208,MAR/PAC HTS,42.09117239,,,
7637,SOMA,42.09364346,,,
9414,SUNSET,42.24462657,,,
7605,CVC CTR/DWTN,42.42401478,,,
7331,N EMBRCDRO,42.42646413,,,
9749,INGLESIDE,42.56607571,,,
1102,EXCELSIOR,42.6863777,,,
1146,EXCELSIOR,42.84907026,,,
7305,N EMBRCDRO,42.85599145,,,
7609,CVC CTR/DWTN,42.87384013,,,
9404,SUNSET,42.90292091,,,
9801,EXCELSIOR,42.91702699,,,
9253,LRL HTS/ANZA,42.94934034,,,
7312,CHINA,43.14419898,,,
1112,INGLESIDE,43.28895106,,,
7612,CVC CTR/DWTN,43.45005005,,,
7706,W TWIN PKS,43.47688074,,,
7611,CVC CTR/DWTN,43.5685018,,,
1104,EXCELSIOR,43.59609667,,,
1105,EXCELSIOR,43.59609667,,,
9241,MAR/PAC HTS,43.74810125,,,
9226,MAR/PAC HTS,43.79393362,,,
7035,BAYVW/HTRSPT,43.80745896,,,
9415,SUNSET,43.85057886,,,
7866,DIAMD HTS,43.94051026,,,
1101,EXCELSIOR,43.95684572,,,
1149,EXCELSIOR,44.02020786,,,
7302,N EMBRCDRO,44.2209164,,,
9247,MAR/PAC HTS,44.46829808,,,
7202,MAR/PAC HTS,44.56331377,,,
9124,RICHMOND,44.57388783,,,
7703,W TWIN PKS,44.92736743,,,
9403,SUNSET,44.94242446,,,
9412,SUNSET,45.20271741,,,
7615,CVC CTR/DWTN,45.26417457,,,
7651,SOMA,45.30354415,,,
7645,POTRERO HILL,45.32041946,,,
7324,CHINA,45.44469017,,,
9236,MAR/PAC HTS,45.47147301,,,
9137,RICHMOND,45.88622796,,,
7852,DIAMD HTS,45.93997642,,,
9237,MAR/PAC HTS,46.02020479,,,
7318,CHINA,46.09986772,,,
7634,SOMA,46.10797669,,,
9416,SUNSET,46.33756052,,,
7655,SOMA,46.48339358,,,
7339,CVC CTR/DWTN,46.49844956,,,
7647,SOMA,46.53048099,,,
7702,W TWIN PKS,46.56280833,,,
7317,N EMBRCDRO,46.58132941,,,
9441,SUNSET,46.68114802,,,
9123,RICHMOND,46.82921411,,,
1142,EXCELSIOR,47.07960406,,,
7617,CVC CTR/DWTN,47.12305814,,,
7022,BAYVW/HTRSPT,47.20331638,,,
9737,W TWIN PKS,47.20599461,,,
7707,W TWIN PKS,47.27318688,,,
9246,MAR/PAC HTS,47.28311762,,,
7319,CHINA,47.46330615,,,
7206,MAR/PAC HTS,47.48263986,,,
7639,SOMA,47.65513987,,,
9126,RICHMOND,47.73027328,,,
9141,RICHMOND,47.76948132,,,
9106,SECLF/PREHTS,47.79163437,,,
7643,POTRERO HILL,47.9089388,,,
9205,MAR/PAC HTS,47.90928028,,,
7306,CHINA,47.92438386,,,
7021,BAYVW/HTRSPT,48.31879521,,,
9242,MAR/PAC HTS,48.4387512,,,
9252,LRL HTS/ANZA,48.49809663,,,
7708,W TWIN PKS,48.62559043,,,
7028,BAYVW/HTRSPT,48.71510163,,,
7335,CVC CTR/DWTN,48.7247461,,,
9102,RICHMOND,48.76709722,,,
7957,PORTOLA,48.96739428,,,
7337,CVC CTR/DWTN,49.08079708,,,
1103,EXCELSIOR,49.14186627,,,
7055,POTRERO HILL,49.26141479,,,
9229,SECLF/PREHTS,49.40185759,,,
7205,MAR/PAC HTS,49.55309416,,,
9143,RICHMOND,49.66971788,,,
1145,EXCELSIOR,49.68766951,,,
7514,WST ADDITION,49.73220948,,,
9407,SUNSET,49.77772436,,,
1119,INGLESIDE,49.96084708,,,
7344,CVC CTR/DWTN,49.99724254,,,
7326,CHINA,50.07262867,,,
9128,RICHMOND,50.14589702,,,
9144,RICHMOND,50.27641965,,,
9104,RICHMOND,50.54537275,,,
7851,DIAMD HTS,50.98518908,,,
9125,RICHMOND,50.99640687,,,
9119,RICHMOND,51.09918564,,,
7349,CVC CTR/DWTN,51.21289533,,,
1143,EXCELSIOR,51.43467025,,,
7635,SOMA,51.56859707,,,
9105,SECLF/PREHTS,51.57242974,,,
7626,SOMA,51.70255824,,,
7325,CHINA,51.73664339,,,
9745,LAKE MERCED,51.76658845,,,
7348,CVC CTR/DWTN,51.88065389,,,
9743,LAKE MERCED,52.03252667,,,
7652,SOMA,52.20940901,,,
9111,RICHMOND,52.31018028,,,
7606,CVC CTR/DWTN,52.37352031,,,
7649,SOMA,52.4109378,,,
9755,W TWIN PKS,52.57652108,,,
7601,CVC CTR/DWTN,52.58663687,,,
7501,MAR/PAC HTS,52.76827258,,,
7201,MAR/PAC HTS,52.81734143,,,
7604,CVC CTR/DWTN,53.08095266,,,
9134,LRL HTS/ANZA,53.14137974,,,
7613,CVC CTR/DWTN,53.20194831,,,
9245,MAR/PAC HTS,53.21747842,,,
7657,POTRERO HILL,53.24659766,,,
9142,RICHMOND,53.25692293,,,
1147,EXCELSIOR,53.2722771,,,
7304,N EMBRCDRO,53.377963,,,
9127,RICHMOND,53.50585557,,,
7323,CHINA,53.58063139,,,
7636,SOMA,53.62098083,,,
9753,W TWIN PKS,53.74799764,,,
7633,SOMA,53.79455056,,,
9501,WST ADDITION,53.85012991,,,
7516,WST ADDITION,54.01213706,,,
9151,LRL HTS/ANZA,54.01458306,,,
7602,CVC CTR/DWTN,54.08224449,,,
9129,RICHMOND,54.14528913,,,
7333,CHINA,54.14792154,,,
7209,MAR/PAC HTS,54.21016572,,,
7307,N EMBRCDRO,54.32275884,,,
7504,WST ADDITION,54.34831836,,,
7502,MAR/PAC HTS,54.81790007,,,
7624,SOMA,55.03143503,,,
9117,RICHMOND,55.03654751,,,
7622,SOMA,55.1854173,,,
9243,MAR/PAC HTS,55.35721137,,,
9733,W TWIN PKS,55.57547345,,,
7607,CVC CTR/DWTN,55.80637669,,,
9107,RICHMOND,55.83694748,,,
7203,MAR/PAC HTS,55.89441913,,,
7204,MAR/PAC HTS,56.09085074,,,
7653,POTRERO HILL,56.30260422,,,
7303,CHINA,56.3911556,,,
7511,WST ADDITION,56.53014271,,,
7509,MAR/PAC HTS,56.53014271,,,
7309,CHINA,56.57371544,,,
7506,WST ADDITION,56.96183889,,,
9505,WST ADDITION,57.07454294,,,
7508,WST ADDITION,57.30711506,,,
9131,RICHMOND,57.37492259,,,
9248,MAR/PAC HTS,57.50312363,,,
9739,LAKE MERCED,57.51403338,,,
7614,CVC CTR/DWTN,57.66435336,,,
9249,LRL HTS/ANZA,58.01875627,,,
9258,LRL HTS/ANZA,58.04576069,,,
7623,SOMA,58.10391184,,,
7835,NOE VALLEY,58.11634297,,,
7515,WST ADDITION,58.31616304,,,
9136,RICHMOND,58.33234116,,,
9704,W TWIN PKS,58.36100641,,,
9741,LAKE MERCED,58.70070319,,,
7342,CVC CTR/DWTN,58.73739833,,,
7313,CHINA,58.88005944,,,
9244,MAR/PAC HTS,58.98658994,,,
7621,SOMA,59.09099634,,,
9113,SECLF/PREHTS,59.2402394,,,
9109,RICHMOND,59.31410304,,,
7631,SOMA,59.53695073,,,
7308,N EMBRCDRO,59.58656441,,,
7315,CHINA,59.75894385,,,
9255,LRL HTS/ANZA,60.26461889,,,
9251,LRL HTS/ANZA,60.31285611,,,
9133,RICHMOND,60.38921716,,,
9402,SUNSET,60.43658321,,,
7332,CVC CTR/DWTN,61.01945747,,,
7311,CHINA,61.10361086,,,
7644,POTRERO HILL,61.21835188,,,
7943,S BERNAL HTS,61.2760829,,,
7619,SOMA,61.37538949,,,
9516,INNER SUNSET,61.45995867,,,
9706,W TWIN PKS,61.51814063,,,
7507,WST ADDITION,61.52273275,,,
9108,RICHMOND,61.86408483,,,
7009,BAYVW/HTRSPT,61.92613019,,,
9256,WST ADDITION,62.16011341,,,
9254,WST ADDITION,62.41460335,,,
7346,CVC CTR/DWTN,62.60472427,,,
7709,W TWIN PKS,62.68472199,,,
7341,CVC CTR/DWTN,63.05906444,,,
7011,POTRERO HILL,63.08160221,,,
9754,W TWIN PKS,63.33852329,,,
9112,RICHMOND,63.46054428,,,
9411,SUNSET,63.51412959,,,
9708,W TWIN PKS,63.88660885,,,
7513,WST ADDITION,63.89583204,,,
7334,CVC CTR/DWTN,63.97682301,,,
7711,W TWIN PKS,64.04163861,,,
9231,SECLF/PREHTS,64.18710913,,,
9114,RICHMOND,64.28875359,,,
7646,POTRERO HILL,64.99263269,,,
7836,NOE VALLEY,65.05906681,,,
9116,RICHMOND,65.20511831,,,
9202,MAR/PAC HTS,65.25022423,,,
7618,MISSION,65.36644596,,,
7829,UPRMKT/EURKA,65.92278781,,,
9409,INNER SUNSET,65.93846057,,,
7632,SOMA,66.01381613,,,
9145,RICHMOND,66.58855658,,,
9502,LRL HTS/ANZA,66.59877494,,,
9705,W TWIN PKS,66.63935221,,,
7532,WST ADDITION,66.72989626,,,
7874,S BERNAL HTS,66.89224699,,,
9132,RICHMOND,67.05924791,,,
7853,DIAMD HTS,67.06511447,,,
7701,W TWIN PKS,67.10215626,,,
9148,RICHMOND,67.29286191,,,
7002,POTRERO HILL,67.31325292,,,
7868,DIAMD HTS,67.46060964,,,
7012,POTRERO HILL,67.77338242,,,
7001,MISSION,68.08231015,,,
7828,UPRMKT/EURKA,68.19470386,,,
7503,MAR/PAC HTS,68.24048763,,,
9147,RICHMOND,68.36895296,,,
7628,MISSION,68.58474301,,,
7603,CVC CTR/DWTN,68.93666368,,,
7345,CVC CTR/DWTN,68.93853807,,,
9504,WST ADDITION,68.95745407,,,
9503,WST ADDITION,68.95745407,,,
9506,WST ADDITION,69.07295339,,,
9152,LRL HTS/ANZA,69.12988616,,,
7343,CVC CTR/DWTN,69.45413057,,,
7505,WST ADDITION,69.48009475,,,
9401,SUNSET,69.53887533,,,
9515,INNER SUNSET,69.96516561,,,
7803,UPRMKT/EURKA,70.09910993,,,
7867,DIAMD HTS,70.4093395,,,
9149,LRL HTS/ANZA,70.54350054,,,
7859,DIAMD HTS,70.56038803,,,
9701,INNER SUNSET,70.61278033,,,
7712,W TWIN PKS,70.64608606,,,
7801,UPRMKT/EURKA,70.89250374,,,
7875,S BERNAL HTS,70.90365327,,,
7945,S BERNAL HTS,70.92766086,,,
7921,MISSION,70.96537352,,,
7056,POTRERO HILL,70.98178245,,,
9146,RICHMOND,71.12363942,,,
7616,CVC CTR/DWTN,71.20680805,,,
9408,SUNSET,71.39395864,,,6.869058572
7003,POTRERO HILL,71.46404839,,,
9115,RICHMOND,71.52571884,,,
7838,NOE VALLEY,72.02883506,,,
7654,CVC CTR/DWTN,72.30551843,,,
7846,NOE VALLEY,72.32699821,,,
7942,S BERNAL HTS,72.34706798,,,
7814,MISSION,72.40130407,,,
7007,POTRERO HILL,72.67599136,,,
7902,MISSION,73.21434168,,,
7871,DIAMD HTS,73.91027631,,,
7959,MISSION,74.00383143,,,
7008,POTRERO HILL,74.11500173,,,
7903,MISSION,74.15563845,,,
7014,POTRERO HILL,74.55985434,,,
9201,MAR/PAC HTS,74.58291995,,,
7924,MISSION,74.74905726,,,
7527,NA,75.10347114,,,
7528,WST ADDITION,75.10347114,,,
7525,WST ADDITION,75.17708599,,,
7845,NOE VALLEY,75.40494163,,,
7862,NOE VALLEY,75.86855957,,,
7837,NOE VALLEY,75.92755793,,,
7802,UPRMKT/EURKA,76.01502642,,,
7876,UPRMKT/EURKA,76.19474792,,,
7804,UPRMKT/EURKA,76.22692363,,,
7812,MISSION,76.28904648,,,
7524,WST ADDITION,76.41584835,,,
7822,UPRMKT/EURKA,76.48015347,,,
7854,NOE VALLEY,76.81969285,,,
7006,POTRERO HILL,76.84912556,,,
7872,S BERNAL HTS,76.97979456,,,
7938,S BERNAL HTS,77.05497997,,,
7839,NOE VALLEY,77.16464188,,,
7865,NOE VALLEY,77.45211425,,,
7629,SOMA,77.47486286,,,
7013,POTRERO HILL,77.6823123,,,
7004,POTRERO HILL,78.10310801,,,
7545,WST ADDITION,78.11384855,,,
7901,MISSION,78.21529962,,,
7864,NOE VALLEY,78.24946664,,,
9702,INNER SUNSET,78.5913881,,,
9513,WST ADDITION,78.59593695,,,
9257,WST ADDITION,78.66319117,,,
7554,INNER SUNSET,78.71487882,,,
7856,NOE VALLEY,79.02898221,,,
7869,S BERNAL HTS,79.07912263,,,
7861,DIAMD HTS,79.13931907,,,
9517,INNER SUNSET,79.29570856,,,
9511,WST ADDITION,79.59008629,,,
7526,WST ADDITION,79.67776654,,,
7904,MISSION,79.81284631,,,
7819,MISSION,80.06621673,,,
7557,HAIGHT ASH,80.41658372,,,
7556,HAIGHT ASH,80.41658372,,,
7347,CVC CTR/DWTN,80.50233056,,,
7847,NOE VALLEY,80.94464319,,,
7553,INNER SUNSET,81.03797901,,,
7908,MISSION,81.26034345,,,
7905,MISSION,81.39391714,,,
7815,UPRMKT/EURKA,81.43977237,,,
7925,N BERNAL HTS,81.55143661,,,
7832,UPRMKT/EURKA,81.8193426,,,
7821,UPRMKT/EURKA,81.85111707,,,
7932,N BERNAL HTS,81.86019332,,,
9518,INNER SUNSET,81.96820574,,,
7816,UPRMKT/EURKA,82.46508369,,,
7941,S BERNAL HTS,82.55751981,,,
7831,UPRMKT/EURKA,82.64885211,,,
7911,MISSION,82.68021611,,,
7863,NOE VALLEY,82.77525168,,,
7873,S BERNAL HTS,82.85607302,,,
7855,NOE VALLEY,83.20714936,,,
7549,INNER SUNSET,83.51655425,,,
7824,UPRMKT/EURKA,83.92579882,,,
7519,HAIGHT ASH,84.08117551,,,
7805,UPRMKT/EURKA,84.09920125,,,
7544,WST ADDITION,84.26417001,,,
7841,NOE VALLEY,84.44877141,,,
7543,WST ADDITION,84.48354192,,,
7857,NOE VALLEY,84.49323573,,,
7849,NOE VALLEY,84.57997627,,,
7541,WST ADDITION,85.04549519,,,
9519,INNER SUNSET,85.04692373,,,
7555,HAIGHT ASH,85.3412489,,,
7913,MISSION,85.43838576,,,
9512,WST ADDITION,85.53122407,,,
7848,NOE VALLEY,85.65546105,,,
7827,MISSION,85.68325162,,,
7915,MISSION,85.70637167,,,
7917,MISSION,85.7983772,,,
7944,S BERNAL HTS,85.81918347,,,
7542,WST ADDITION,85.87328029,,,
7926,N BERNAL HTS,86.01825829,,,
7922,MISSION,86.03026176,,,
9514,NA,86.05349272,,,
9522,INNER SUNSET,86.05349272,,,
7923,MISSION,86.089108,,,
9521,INNER SUNSET,86.59323118,,,
7533,HAIGHT ASH,86.6653949,,,
7823,UPRMKT/EURKA,86.80152185,,,
7005,POTRERO HILL,87.21788583,,,
7818,UPRMKT/EURKA,87.64980415,,,
7937,N BERNAL HTS,87.83061033,,,
9509,LRL HTS/ANZA,87.90172535,,,
7537,HAIGHT ASH,88.10687828,,,
7548,HAIGHT ASH,88.39101202,,,
7517,HAIGHT ASH,88.84531467,,,
7807,UPRMKT/EURKA,88.89261887,,,
7523,WST ADDITION,89.03077299,,,
7907,MISSION,89.11295566,,,
7522,WST ADDITION,89.16570439,,,
7518,HAIGHT ASH,89.22735458,,,
7015,BAYVW/HTRSPT,89.22849501,,,
7844,MISSION,89.5098164,,,
9507,LRL HTS/ANZA,89.52953559,,,
7842,MISSION,89.71817104,,,
7546,HAIGHT ASH,89.72667987,,,
7552,HAIGHT ASH,89.77231617,,,
7536,HAIGHT ASH,89.95902061,,,
7825,UPRMKT/EURKA,90.5196261,,,
7809,UPRMKT/EURKA,90.63880432,,,
7529,WST ADDITION,90.70756786,,,
7551,HAIGHT ASH,90.7771166,,,
7858,MISSION,90.80981508,,,
7918,MISSION,91.01084143,,,
7535,HAIGHT ASH,91.38981477,,,
7931,N BERNAL HTS,91.76247593,,,
7914,MISSION,91.86607157,,,
7916,MISSION,91.98425699,,,
7928,N BERNAL HTS,92.0029682,,,
7919,MISSION,92.17518525,,,
7929,N BERNAL HTS,92.42569613,,,
7538,HAIGHT ASH,92.47040009,,,
7811,MISSION,92.67242636,,,
7906,MISSION,92.68788005,,,
7806,UPRMKT/EURKA,92.80042109,,,
7826,MISSION,92.81805895,,,
7813,UPRMKT/EURKA,93.22775769,,,
7927,N BERNAL HTS,93.47756957,,,
7521,HAIGHT ASH,93.48736209,,,
7912,MISSION,93.70923211,,,
7909,MISSION,94.04461574,,,
7808,UPRMKT/EURKA,94.16269456,,,
7539,WST ADDITION,95.13009073,,,
7534,HAIGHT ASH,95.14703507,,,
7101,HAIGHT ASH,95.2124686,,,
7843,MISSION,95.3619162,,,
7833,MISSION,95.59796597,,,
7936,N BERNAL HTS,96.0398814,,,
7531,WST ADDITION,96.04068067,,,
9508,WST ADDITION,96.05312177,,,
7939,S BERNAL HTS,96.22026577,,,
7547,HAIGHT ASH,97.34294873,,,
7834,MISSION,98.46918129,,,
7817,UPRMKT/EURKA,98.91924801,,,
7934,N BERNAL HTS,99.09242574,,,
7935,N BERNAL HTS,100,,,